Rank,Nation,Gold,Silver,Bronze,Total
1,Norway*,7,3,6,16
2,United States,4,6,1,11
3,Finland,3,4,2,9
4,Germany,3,2,2,7
5,Austria,2,4,2,8
6,Canada,1,0,1,2
6,Italy,1,0,1,2
8,Great Britain,1,0,0,1
9,Netherlands,0,3,0,3
10,Sweden,0,0,4,4
11,Switzerland,0,0,2,2
12,France,0,0,1,1
12,Hungary,0,0,1,1
Totals (13 entries),Totals (13 entries),22,22,23,67
