Rank,NOC,Gold,Silver,Bronze,Total
1,United States*,83,61,30,174
2,Romania‡,20,16,17,53
3,West Germany,17,19,23,59
4,China,15,8,9,32
5,Italy,14,6,12,32
6,Canada,10,18,16,44
7,Japan,10,8,14,32
8,New Zealand,8,1,2,11
9,Yugoslavia‡,7,4,7,18
10,South Korea,6,6,7,19
11,Great Britain‡,5,11,21,37
12,France,5,7,16,28
13,Netherlands,5,2,6,13
14,Australia,4,8,12,24
15,Finland‡,4,2,6,12
16,Sweden‡,2,11,6,19
17,Mexico,2,3,1,6
18,Morocco,2,0,0,2
19,Brazil,1,5,2,8
20,Spain,1,2,2,5
21,Belgium,1,1,2,4
22,Austria,1,1,1,3
23,Kenya‡,1,0,2,3
23,Portugal,1,0,2,3
25,Pakistan,1,0,0,1
26,Switzerland,0,4,4,8
27,Denmark,0,3,3,6
28,Jamaica,0,1,2,3
28,Norway,0,1,2,3
30,Greece,0,1,1,2
30,Nigeria,0,1,1,2
30,Puerto Rico,0,1,1,2
33,Colombia,0,1,0,1
33,Egypt,0,1,0,1
33,Ireland,0,1,0,1
33,Ivory Coast,0,1,0,1
33,Peru,0,1,0,1
33,Syria,0,1,0,1
33,Thailand,0,1,0,1
40,Turkey,0,0,3,3
40,Venezuela,0,0,3,3
42,Algeria,0,0,2,2
43,Cameroon,0,0,1,1
43,Chinese Taipei,0,0,1,1
43,Dominican Republic,0,0,1,1
43,Iceland,0,0,1,1
43,Zambia,0,0,1,1
Totals (47 entries),Totals (47 entries),226,219,243,688
