Rank,NOC,Gold,Silver,Bronze,Total
1,Norway,6,6,2,14
2,Soviet Union,5,5,3,13
3,France*,4,3,2,9
4,Italy,4,0,0,4
5,Austria,3,4,4,11
6,Netherlands,3,3,3,9
7,Sweden,3,2,3,8
8,West Germany,2,2,3,7
9,United States,1,5,1,7
10,East Germany,1,2,2,5
10,Finland,1,2,2,5
12,Czechoslovakia,1,2,1,4
13,Canada,1,1,1,3
14,Switzerland,0,2,4,6
15,Romania,0,0,1,1
Totals (15 entries),Totals (15 entries),35,39,32,106
