Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,8,5,3,16
2,East Germany,4,3,7,14
3,Switzerland,4,3,3,10
4,Netherlands,4,3,2,9
5,United States,3,2,3,8
6,West Germany,3,1,1,5
7,Norway,2,5,5,12
8,Italy,2,2,1,5
9,Austria,1,2,2,5
10,Sweden,1,1,2,4
11,Japan*,1,1,1,3
12,Czechoslovakia,1,0,2,3
13,Poland,1,0,0,1
13,Spain,1,0,0,1
15,Finland,0,4,1,5
16,France,0,1,2,3
17,Canada,0,1,0,1
Totals (17 entries),Totals (17 entries),36,34,35,105
