Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,7,3,6,16
2,Austria,4,3,4,11
3,Finland,3,3,1,7
4,Switzerland,3,2,1,6
5,Sweden,2,4,4,10
6,United States,2,3,2,7
7,Norway,2,1,1,4
8,Italy*,1,2,0,3
9,United Team of Germany[a],1,0,1,2
10,Canada,0,1,2,3
11,Japan,0,1,0,1
12,Hungary,0,0,1,1
12,Poland,0,0,1,1
Totals (13 entries),Totals (13 entries),25,23,24,72
