Rank,NOC,Gold,Silver,Bronze,Total
1,Soviet Union,11,8,6,25
2,Austria*,4,5,3,12
3,Norway,3,6,6,15
4,Finland,3,4,3,10
5,France,3,4,0,7
6,United Team of Germany‡,3,3,3,9
7,Sweden,3,3,1,7
8,United States‡,1,2,4,7
9,Canada‡,1,1,1,3
10,Netherlands,1,1,0,2
11,Great Britain,1,0,0,1
12,Italy,0,1,3,4
13,North Korea,0,1,0,1
14,Czechoslovakia,0,0,1,1
Totals (14 entries),Totals (14 entries),34,39,31,104
