Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,10,6,6,22
2,East Germany,9,7,7,23
3,United States*,6,4,2,12
4,Austria,3,2,2,7
5,Sweden,3,0,1,4
6,Liechtenstein,2,2,0,4
7,Finland,1,5,3,9
8,Norway,1,3,6,10
9,Netherlands,1,2,1,4
10,Switzerland,1,1,3,5
11,Great Britain,1,0,0,1
12,West Germany,0,2,3,5
13,Italy,0,2,0,2
14,Canada,0,1,1,2
15,Hungary,0,1,0,1
15,Japan,0,1,0,1
17,Bulgaria,0,0,1,1
17,Czechoslovakia,0,0,1,1
17,France,0,0,1,1
Totals (19 entries),Totals (19 entries),38,39,38,115
