Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,13,6,8,27
2,East Germany,7,5,7,19
3,United States,3,3,4,10
4,Norway,3,3,1,7
5,West Germany,2,5,3,10
6,Finland,2,4,1,7
7,Austria*,2,2,2,6
8,Switzerland,1,3,1,5
9,Netherlands,1,2,3,6
10,Italy,1,2,1,4
11,Canada,1,1,1,3
12,Great Britain,1,0,0,1
13,Czechoslovakia,0,1,0,1
14,Liechtenstein,0,0,2,2
14,Sweden,0,0,2,2
16,France,0,0,1,1
Totals (16 entries),Totals (16 entries),37,37,37,111
